shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
63618,33.656822000,-117.732899000,1,0.00
63618,33.656845000,-117.732932000,2,3.99
63618,33.656848000,-117.733019000,3,12.06
63618,33.656832000,-117.733086000,4,18.52
63618,33.656822000,-117.733111000,5,21.09
63618,33.656785000,-117.733145000,6,26.27
63618,33.656718000,-117.733167000,7,34.00
63618,33.656674000,-117.733161000,8,38.93
63618,33.656611000,-117.733132000,9,46.44
63618,33.656510000,-117.732988000,10,63.89
63618,33.656130000,-117.732448000,11,129.41
63618,33.656076000,-117.732351000,12,140.23
63618,33.655526000,-117.732453000,13,202.18
63618,33.655581000,-117.732531000,14,211.65
63618,33.655696000,-117.732694000,15,231.45
63618,33.656136000,-117.733319000,16,307.30
63618,33.656286000,-117.733530000,17,333.01
63618,33.656772000,-117.734221000,18,416.83
63618,33.656875000,-117.734362000,19,434.21
63618,33.656788000,-117.734458000,20,447.36
63618,33.656616000,-117.734638000,21,472.76
63618,33.656404000,-117.734859000,22,504.00
63618,33.656395000,-117.734868000,23,505.31
63618,33.656312000,-117.734955000,24,517.57
63618,33.656196000,-117.735090000,25,535.55
63618,33.656148000,-117.735213000,26,548.13
63618,33.656135000,-117.735243000,27,551.27
63618,33.655975000,-117.735401000,28,574.32
63618,33.655884000,-117.735491000,29,587.44
63618,33.655796000,-117.735512000,30,597.43
63618,33.655631000,-117.735674000,31,621.15
63618,33.655473000,-117.735829000,32,643.86
63618,33.655365000,-117.735935000,33,659.39
63618,33.654783000,-117.736608000,34,749.31
63618,33.654618000,-117.736815000,35,775.87
63618,33.654580000,-117.736951000,36,789.16
63618,33.654309000,-117.737310000,37,834.07
63618,33.654285000,-117.737330000,38,837.32
63618,33.654183000,-117.737414000,39,851.09
63618,33.654288000,-117.737525000,40,866.65
63618,33.654308000,-117.737545000,41,869.55
63618,33.654452000,-117.737708000,42,891.58
63618,33.654494000,-117.737762000,43,898.42
63618,33.654590000,-117.737888000,44,914.25
63618,33.654680000,-117.738012000,45,929.50
63618,33.654778000,-117.738157000,46,946.80
63618,33.654897000,-117.738342000,47,968.47
63618,33.654979000,-117.738481000,48,984.25
63618,33.655061000,-117.738632000,49,1000.96
